smartstore,question,answer
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하면 
채소애 (사업자 / 개인 사업자),초롱무 한단에 몇개 인가요?,한단에 8개 ~ 10개 입니다
채소애 (사업자 / 개인 사업자),무가 가장 맛있는 시기는 언제인가요?,"가을에 수확된 무는 기온이 낮아지면서 단맛이 증가하고 조직이 단단해져 아삭한 식감을 제공합니다. 특히 늦가을부터 초겨울 사이에 수확된 무는 육질이 단단하고 물이 많으며 단맛이 깊어지기 때문에 다양한 요리에 활용하기 좋습니다.
따라서, 무를 가장 맛있게 즐기고 싶다면 10월에서 12월 사이가 최적의 시기입니다."
채소애 (사업자 / 개인 사업자),무가 가장 맛있는 크기,중간 크기(약 1kg 전후): 적당히 달고 아삭한 식감을 유지하면서도 수분이 많고 맛이 균형 잡히는 경우가 많습니다. 이러한 크기의 무는 다양한 요리에 적합합니다.
채소애 (사업자 / 개인 사업자),무는 어떻게 보관해야 하나요?,"무는 냉장 보관하는 것이 좋습니다. 신선도를 유지하려면 수분을 유지하고, 흙을 제거한 후 비닐봉지에 싸서 보관하면 좋습니다."
채소애 (사업자 / 개인 사업자),무는 어떤 요리에 적합한가요?,"무는 김치, 동치미, 국, 찌개 등 다양한 요리에 적합합니다. 또한, 생으로 썰어 샐러드로 먹거나, 무조림, 무생채 등으로도 즐길 수 있습니다."
채소애 (사업자 / 개인 사업자),무가 너무 매운데 어떻게 먹으면 좋나요?,"무가 매운 맛이 강할 경우, 찬물에 잠시 담가두면 매운 맛이 감소합니다. 또한 식초나 설탕을 살짝 넣어 먹으면 매운 맛이 완화됩니다."
채소애 (사업자 / 개인 사업자),무는 어떻게 먹으면 건강에 좋나요?,"무는 소화에 좋고, 비타민 C가 풍부하여 면역력 강화에 도움을 줄 수 있습니다. 또한 해독작용과 배변활동에 도움을 주는 성분이 있어, 생으로 먹거나 국물에 넣어 먹으면 좋습니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),배추는 언제 제철인가요?,배추는 가을과 겨울에 제철입니다. 이 시기에 가장 맛있고 신선한 배추를 구매할 수 있습니다.
채소애 (사업자 / 개인 사업자),배추는 어떻게 보관해야 하나요?,배추는 냉장 보관이 필요합니다. 겉잎을 떼어내고 신문지나 비닐에 싸서 보관하면 더 오래 신선하게 유지됩니다.
채소애 (사업자 / 개인 사업자),배추는 얼마나 오래 보관할 수 있나요?,배추는 냉장 보관 시 1주일 내외로 신선도를 유지할 수 있습니다. 하지만 시간이 지나면 물러지거나 신선도가 떨어지므로 가급적 빨리 소비하는 것이 좋습니다.
채소애 (사업자 / 개인 사업자),배추의 영양소는 무엇인가요?,"배추는 비타민 C, 섬유소, 칼슘이 풍부합니다. 특히 비타민 C가 많아 면역력 강화에 도움이 됩니다."
