smartstore,category,product_id,product_option,user_id,apply_date,review,customer_info,stars_score,thumb_count
채소애 (사업자 / 개인 사업자),"배송, 상품",5787852677,흙쪽파,cv****,24.10.30.,배송이 빠릅니다. 오전에 배송되어 바로 파김치 담글수 있어서 좋아요 🥰🥰 다듬기는 너무 힘들었지만  질지기않고 아삭아삭 합니다. 아린맛도 많이없고 너무 잘자라서 다듬기는 힘들어도 이번 파김치는 성공 했어요,"{'구매자': '거주인원 2인신혼/부부', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),배송,5787852677,기장 깐쪽파(750g),lim9******,24.11.05.,한달사용기좋아요~빠른배송 감사합니다 재구매합니다!,"{'구매자': '거주인원 4인싱글', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),배송,5787852677,기장 깐쪽파(750g),lim9******,24.11.05.,재구매좋아요~빠른배송 감사합니다 재구매합니다!,"{'구매자': '거주인원 4인싱글', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 기타",5787852677,흙쪽파,kksw****,24.11.08.,쪽파 너무 싱싱하고 좋아요. 대만족입니다.  또 구매의사 있습니다.,"{'구매자': '거주인원 4인', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 배송",5787852677,흙쪽파,high****,24.10.22.,배송원하는날잘받았어요 박스가파손되서받았는데안에있는파를잘싸서넣어주셔서싱싱한상태로잘도착했어요 늘믿고주문하는곳입니다 파김치담먹으면서식구들모두맛나다고뿌듯하네요,"{'신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,1
채소애 (사업자 / 개인 사업자),"상품, 배송",5787852677,흙쪽파,tear******,24.10.27.,재구매가족들이랑 간만에 수육에  기장 쪽파 곁들여 맛있게 먹었어요 한단이 너무 얇아서 손질하는데 시간걸린거 빼고는 포장도 꼼꼼히 해서 보내주시고 연하고 부드러운게 역시 기장쪽파  굿이네요~~~,"{'구매자': '거주인원 2인신혼/부부', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 기타",5787852677,기장 깐쪽파(750g),hjkj****,24.10.29.,흙쪽파 샀으면 오늘 하루종일 다듬었을텐데 깐쪽파 사길 너무 잘했어요~ 가늘어서 손질하기 힘든데 깨끗하게 손질해주셔서 감사합니다~ 다먹고 또 주문할께요^^,"{'구매자': '거주인원 2인신혼/부부', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 기타",5787852677,기장 깐쪽파(750g),well***,24.11.07.,파김치 먹고 싶다는 9살 아들 때문에 주문했어요~ 파가 아주 연하고 깔끔하게 다듬어주셔서 힘들이지 않고 파김치를 담궜네요~빨리 먹고 재주문하려고요~^^,"{'구매자': '거주인원 5인취학자녀 가정', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 교환 / 환불",5787852677,흙쪽파,star******,24.11.01.,재구매매번 여기에서 쪽파 주문하는데 너무 하시네요 반품하고 싶은 마음입니다. 수확한지 몇일 지난 파인것 같아요,"{'신선함': '안신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",2,0
채소애 (사업자 / 개인 사업자),"상품, 기타",5787852677,흙쪽파,kksw****,24.11.08.,쪽파 너무 싱싱한거 잘 받았습니다.  대만족입니다.  다시 구매의사 있습니다.,"{'구매자': '거주인원 4인', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),상품,5787852677,흙쪽파,sw****,24.11.08.,한달사용기파는 항상 여기서 사요 싱싱하고 확실히 마트꺼보다 조아요,"{'신선함': '신선해요', '생산지': '명확해요', '포장': '적당해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 기타",5787852677,흙쪽파,tear******,24.11.01.,재구매연하고 부들부들 너무 맛있어요 벌써 세번째 구매~~동생네도 보내주고 늦은 저녁 라면과 한끼해결 추천해도 별이 모자라요 많이들 이용하세요~~^^,"{'구매자': '거주인원 2인신혼/부부', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),"상품, 배송",5787852677,기장 깐쪽파(750g),myst*****,24.10.22.,와.. 매번 흑쪽파만 사다가 시간이 부족해 처음으로 깐쪽파 구매했어요 너무너무 맘에 들어요 ㅠ적당히 자란 쪽파를 당일에 다듬어 보내 주셨네요 어제 오후에 주문했는데 오늘 오전에 받았어요 배송도 너무 만에 듭니다!,"{'신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,1
채소애 (사업자 / 개인 사업자),상품,5787852677,흙쪽파,zrzr********,24.11.02.,재구매파가 얇아서 다듬는데 조금 오래 걸렸지만  얇아서 더 맛있는거같아요 ! 최고에요 !,"{'구매자': '거주인원 4인취학자녀 가정', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),상품,5787852677,기장 깐쪽파(750g),inte*******,24.10.29.,이전에  샀던곳  생각나  재구매합니다 가격이  좀  오르긴  했지만  맛은  여전하네요 경기도있는  딸한테  파김치  담아주려구요 많이파세요^^,"{'구매자': '거주인원 1인싱글', '신선함': '적당해요', '생산지': '찾기 어려워요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),상품,5787852677,흙쪽파,lma2***,24.10.23.,가늘어서 까는건 힘들었지만 넘 맛있어요 질기지도않고 맵싹하니 딱좋아요 잘먹겠습니다🤗🫡,"{'신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",5,0
채소애 (사업자 / 개인 사업자),상품,5787852677,흙쪽파,ki****,24.10.24.,전에 시장에서 한단 샀을때보다 신선해서 손질해도 버려지는 양이 적어서 파김치 완성품양이 훨씬 많이 나왔어요! 흙쪽파사도 다듬을만해요.,"{'신선함': '신선해요', '생산지': '찾기 어려워요', '포장': '꼼꼼해요'}",5,1
채소애 (사업자 / 개인 사업자),상품,5787852677,흙쪽파,znis****,24.11.05.,신선하고 포장도 잘되었으나 파가너무얇아요  겨우다듬ㅜㅜ,"{'구매자': '거주인원 5인대가족', '신선함': '신선해요', '생산지': '명확해요', '포장': '꼼꼼해요'}",1,0
